gene_symbol	tissue	score	source
SCIN	liver	9.710995906329675e-07	HPA
ARSD	liver	0.00018839332058279569	HPA
PNPLA4	liver	0.00018839332058279569	HPA
MYH13	liver	0.0	HPA
ADIPOR2	liver	0.0003772721909609079	HPA
CDKL3	liver	3.398848567215386e-06	HPA
UPP2	liver	0.00011216200271810776	HPA
PRSS21	liver	4.855497953164838e-07	HPA
MARK4	liver	7.623131786468795e-05	HPA
PROM1	liver	8.739896315696708e-06	HPA
CCDC124	liver	0.00041660172438154304	HPA
CEACAM21	liver	5.3410477484813216e-06	HPA
PAFAH1B1	liver	0.00014178054023241326	HPA
NOS2	liver	4.855497953164838e-07	HPA
DNAH9	liver	4.855497953164838e-07	HPA
BLTP2	liver	8.788451295228357e-05	HPA
SLC13A2	liver	3.88439836253187e-06	HPA
GAS7	liver	1.0682095496962643e-05	HPA
TRAPPC6A	liver	0.00028307553066951	HPA
MATK	liver	1.5052043654810997e-05	HPA
CEACAM7	liver	4.855497953164838e-07	HPA
CD79B	liver	1.553759345012748e-05	HPA
SCN4A	liver	4.855497953164838e-07	HPA
ST7L	liver	1.9907541607975832e-05	HPA
TKTL1	liver	9.710995906329675e-07	HPA
PAX6	liver	0.0	HPA
RPUSD1	liver	7.234691950215609e-05	HPA
RHBDF1	liver	6.26359235958264e-05	HPA
LUC7L	liver	0.0002034453642376067	HPA
CACNA2D2	liver	9.710995906329675e-07	HPA
BAIAP3	liver	3.835843383000222e-05	HPA
TSR3	liver	0.00027627783353507924	HPA
PIGQ	liver	8.98267121335495e-05	HPA
CRAMP1	liver	3.0104087309621994e-05	HPA
TEAD3	liver	5.8751525233294534e-05	HPA
SELE	liver	3.2531836286204414e-05	HPA
DNAJC11	liver	0.00013643949248393194	HPA
FMO3	liver	0.005287151721201192	HPA
MYLIP	liver	2.3306390175191222e-05	HPA
NOX1	liver	0.0	HPA
E2F2	liver	1.4566493859494514e-06	HPA
PSMB1	liver	0.0014508227884056535	HPA
SYN1	liver	1.4566493859494512e-05	HPA
JARID2	liver	1.699424283607693e-05	HPA
CDKL5	liver	5.8265975437978054e-06	HPA
CAMK1G	liver	1.4566493859494514e-06	HPA
CDK11A	liver	8.788451295228357e-05	HPA
NADK	liver	0.0006350991322739609	HPA
TFAP2B	liver	0.0	HPA
TFAP2D	liver	0.0	HPA
DLEC1	liver	4.855497953164838e-07	HPA
CYTH3	liver	1.942199181265935e-05	HPA
ADAM22	liver	4.855497953164838e-07	HPA
SYPL1	liver	0.0003146362673650815	HPA
CYB561	liver	9.953770803987917e-05	HPA
SPAG9	liver	0.0001553759345012748	HPA
CELSR3	liver	4.855497953164838e-07	HPA
AASS	liver	0.00020878641198608802	HPA
PLEKHG6	liver	2.1364190993925286e-05	HPA
SS18L2	liver	0.00015343373532000887	HPA
MPND	liver	0.00022043960707368362	HPA
MGST1	liver	0.014596597946804134	HPA
CRY1	liver	6.360702318645937e-05	HPA
PGLYRP1	liver	1.2138744882912094e-05	HPA
NFIX	liver	0.00010293655660709455	HPA
ST3GAL1	liver	0.0003185206657276133	HPA
MMP25	liver	1.408094406417803e-05	HPA
IL32	liver	0.003926641194724405	HPA
PKD1	liver	4.224283219253409e-05	HPA
MAPK8IP2	liver	2.427748976582419e-06	HPA
MED24	liver	0.00012138744882912095	HPA
RHOBTB2	liver	1.1653195087595611e-05	HPA
HEATR5B	liver	4.127173260190112e-05	HPA
SEC62	liver	0.000912348065399673	HPA
RPS20	liver	0.007868819982898935	HPA
CSDE1	liver	0.0010604407529712005	HPA
UBE3C	liver	0.00010827760435557589	HPA
REV3L	liver	1.553759345012748e-05	HPA
TENM1	liver	3.787288403468573e-05	HPA
PAX7	liver	0.0	HPA
MASP2	liver	0.0022563498988357	HPA
IYD	liver	0.00015780368347785722	HPA
FAM76A	liver	5.632377625671212e-05	HPA
TRAF3IP3	liver	2.6705238742406608e-05	HPA
POMT2	liver	4.369948157848354e-05	HPA
VTA1	liver	0.00021364190993925286	HPA
MLXIPL	liver	0.0028890212821330785	HPA
BAZ1B	liver	0.00011361865210405719	HPA
RANBP9	liver	0.00012430074760101984	HPA
ETV7	liver	1.3595394268861545e-05	HPA
SPRTN	liver	2.4277489765824188e-05	HPA
METTL13	liver	4.904052932696486e-05	HPA
DYRK4	liver	1.942199181265935e-05	HPA
ZNF207	liver	0.000300069773505587	HPA
UQCRC1	liver	0.0007016194542323191	HPA
STARD3NL	liver	8.108681581785278e-05	HPA
CD9	liver	0.0003738733423936925	HPA
HHATL	liver	1.4566493859494514e-06	HPA
NCAPD2	liver	2.2820840379874737e-05	HPA
IFFO1	liver	2.6705238742406608e-05	HPA
GIPR	liver	3.398848567215386e-06	HPA
PHF7	liver	2.2335290584558252e-05	HPA
SEMA3G	liver	6.312147339114289e-06	HPA
NISCH	liver	0.00021606965891583527	HPA
STAB1	liver	0.0004836075961352178	HPA
FUZ	liver	3.3502935876837384e-05	HPA
SLC6A13	liver	0.00017479792631393417	HPA
IDS	liver	7.428911868342202e-05	HPA
PRSS3	liver	5.8751525233294534e-05	HPA
ZNF200	liver	1.845089222202638e-05	HPA
CD4	liver	0.0007200703464543455	HPA
LRRC23	liver	1.2138744882912094e-05	HPA
BTK	liver	2.2335290584558252e-05	HPA
HFE	liver	7.234691950215609e-05	HPA
SCMH1	liver	4.272838198785057e-05	HPA
FYN	liver	9.419666029139784e-05	HPA
HIVEP2	liver	3.7387334239369254e-05	HPA
FMO1	liver	1.408094406417803e-05	HPA
ELOA	liver	0.00012672849657760228	HPA
LYPLA2	liver	0.0003889253860485035	HPA
CLCN6	liver	6.506367257240883e-05	HPA
MRC2	liver	1.3595394268861545e-05	HPA
NME1-NME2	liver	7.76879672506374e-05	HPA
SLC6A7	liver	0.0	HPA
TSPAN9	liver	0.0002592835906990023	HPA
BTBD7	liver	1.3595394268861545e-05	HPA
APBA3	liver	4.8554979531648375e-05	HPA
MKS1	liver	4.127173260190112e-05	HPA
ABHD5	liver	0.00010245100681177808	HPA
ANOS1	liver	3.88439836253187e-06	HPA
AKAP8L	liver	0.00013643949248393194	HPA
MBTD1	liver	4.612723055506596e-05	HPA
UTP18	liver	0.00010536430558367698	HPA
RNF216	liver	4.758387994101541e-05	HPA
TTC19	liver	3.6416234648736285e-05	HPA
PTBP1	liver	0.0005846019535610464	HPA
DPF1	liver	0.0	HPA
SYT7	liver	0.0004107751268377452	HPA
LARS2	liver	3.835843383000222e-05	HPA
PIK3C2A	liver	6.700587175367477e-05	HPA
PLAUR	liver	9.322556070076489e-05	HPA
ANLN	liver	5.8265975437978054e-06	HPA
WIZ	liver	5.826597543797805e-05	HPA
RABGAP1	liver	5.486712687076267e-05	HPA
DCN	liver	0.0021616676887489857	HPA
QPCTL	liver	4.321393178316706e-05	HPA
PPP5C	liver	0.0001548903847059583	HPA
CEP68	liver	9.22544611101319e-06	HPA
MAP4K3	liver	7.137581991152312e-05	HPA
ZBTB32	liver	0.0	HPA
TYROBP	liver	0.0004020352305220486	HPA
LDAF1	liver	1.2138744882912094e-05	HPA
GABRA3	liver	0.0	HPA
BRCA1	liver	2.573413915177364e-05	HPA
ERCC1	liver	0.00018111007365304843	HPA
CD22	liver	6.797697134430772e-06	HPA
SEMA3B	liver	2.9132987718989025e-05	HPA
MBTPS2	liver	8.788451295228357e-05	HPA
PRICKLE3	liver	1.4566493859494512e-05	HPA
LTF	liver	1.553759345012748e-05	HPA
EXTL3	liver	2.9132987718989025e-05	HPA
NR1H4	liver	0.0005676077107249696	HPA
ELOVL5	liver	0.0005132261336495234	HPA
ALOX5	liver	2.6219688947090127e-05	HPA
KDM5D	liver	6.020817461924399e-05	HPA
CALCOCO1	liver	0.000269965686195965	HPA
UBR7	liver	7.137581991152312e-05	HPA
MAP4K5	liver	4.612723055506596e-05	HPA
EHD3	liver	5.195382809886376e-05	HPA
PSMC4	liver	0.00032726056204331007	HPA
MAN2B2	liver	0.00011216200271810776	HPA
SLC7A14	liver	0.0	HPA
CLDN11	liver	1.019654570164616e-05	HPA
SLC25A39	liver	0.0006763708648758619	HPA
MVP	liver	0.0003170640163416639	HPA
NUB1	liver	0.0001675146793841869	HPA
PGM3	liver	0.00015197708593405943	HPA
RWDD2A	liver	2.816188812835606e-05	HPA
CLK1	liver	0.00039863638195483317	HPA
POLR3B	liver	4.224283219253409e-05	HPA
ANGEL1	liver	9.128336151949895e-05	HPA
RNF14	liver	0.0003175495661369804	HPA
DNASE1L1	liver	8.885561254291654e-05	HPA
DDX11	liver	4.418503137380002e-05	HPA
HEBP1	liver	0.0006860818607821916	HPA
GPRC5A	liver	8.739896315696708e-06	HPA
MAMLD1	liver	7.76879672506374e-06	HPA
CD6	liver	6.797697134430772e-06	HPA
TACC3	liver	1.650869304076045e-05	HPA
UFL1	liver	0.00013983834105114732	HPA
POLA2	liver	1.7479792631393415e-05	HPA
ZC3H3	liver	0.00021704075850646827	HPA
CAPN1	liver	0.000209757511576721	HPA
ACP3	liver	6.312147339114289e-06	HPA
MDH1	liver	0.0012532040217118447	HPA
SLC30A9	liver	6.700587175367477e-05	HPA
MTMR11	liver	6.797697134430772e-06	HPA
COX15	liver	0.00011119090312747478	HPA
CCDC88C	liver	1.3595394268861545e-05	HPA
YAF2	liver	8.497121418038466e-05	HPA
ZMYND11	liver	0.00016265918143102206	HPA
WAS	liver	3.4474035467470346e-05	HPA
DPEP1	liver	1.942199181265935e-06	HPA
BID	liver	0.00014275163982304623	HPA
MATR3	liver	0.0005326481254621827	HPA
NPC1L1	liver	0.00022772285400343088	HPA
XYLT2	liver	3.5445135058103316e-05	HPA
RGPD5	liver	1.9907541607975832e-05	HPA
STMN4	liver	4.855497953164838e-07	HPA
NUDCD3	liver	8.254346520380225e-06	HPA
ISL1	liver	0.0	HPA
CHDH	liver	0.00016945687856545282	HPA
IL20RA	liver	1.942199181265935e-06	HPA
CLCA1	liver	0.0	HPA
CLCA4	liver	4.855497953164838e-07	HPA
GLT8D1	liver	0.00032726056204331007	HPA
ATP2C1	liver	0.00013401174350734953	HPA
IGF1	liver	0.0003932953342063519	HPA
SLC38A5	liver	4.369948157848354e-06	HPA
RALBP1	liver	9.371111049608137e-05	HPA
RUFY3	liver	0.00010536430558367698	HPA
CNTN1	liver	5.8265975437978054e-06	HPA
SLC11A1	liver	2.4277489765824188e-05	HPA
WWTR1	liver	8.934116233823301e-05	HPA
AGPS	liver	9.079781172418246e-05	HPA
STEEP1	liver	4.127173260190112e-05	HPA
ATP1A2	liver	5.8265975437978054e-06	HPA
TTC27	liver	3.7387334239369254e-05	HPA
ZNF582	liver	1.1167645292279126e-05	HPA
VSIG2	liver	1.408094406417803e-05	HPA
PHLDB1	liver	1.3595394268861545e-05	HPA
MARCO	liver	0.00044719136148648153	HPA
CYP24A1	liver	1.942199181265935e-06	HPA
PRDM11	liver	1.1653195087595611e-05	HPA
SYT13	liver	1.4566493859494514e-06	HPA
SNAI2	liver	4.5156130964432996e-05	HPA
CD74	liver	0.005508076878070193	HPA
HGF	liver	0.00014275163982304623	HPA
ZRANB1	liver	0.00011847415005722204	HPA
NCDN	liver	4.904052932696486e-05	HPA
ADGRA2	liver	2.039309140329232e-05	HPA
ZFP64	liver	2.476303956114067e-05	HPA
MNAT1	liver	0.00011021980353684181	HPA
SAMD4A	liver	7.865906684127037e-05	HPA
RUNX3	liver	1.7479792631393415e-05	HPA
MRE11	liver	3.0104087309621994e-05	HPA
PLEKHB1	liver	9.710995906329675e-06	HPA
SERPINB1	liver	0.00015100598634342646	HPA
CYP3A43	liver	0.0001942199181265935	HPA
SLC7A9	liver	8.157236561316928e-05	HPA
SPAST	liver	4.5156130964432996e-05	HPA
NRXN3	liver	1.942199181265935e-06	HPA
OSBPL5	liver	1.4566493859494512e-05	HPA
AQR	liver	1.8936442017342866e-05	HPA
CPS1	liver	0.005008931688484846	HPA
C8B	liver	0.003058963710493848	HPA
FHL1	liver	0.0002029598144422902	HPA
RTF2	liver	0.000300069773505587	HPA
GABRA1	liver	0.0	HPA
NLRP2	liver	1.942199181265935e-06	HPA
SLC45A4	liver	4.369948157848354e-06	HPA
RNF10	liver	0.00037290224280305955	HPA
ZNF839	liver	6.894807093494069e-05	HPA
ZDHHC6	liver	0.00012381519780570337	HPA
GRAMD1B	liver	7.283246929747256e-06	HPA
RNH1	liver	0.0005297348266902837	HPA
NDUFS1	liver	0.00024520264663482433	HPA
RB1CC1	liver	0.00010099435742582863	HPA
ERP44	liver	0.00013789614186988138	HPA
ALAS1	liver	0.0025845815604696428	HPA
BIRC3	liver	0.00012381519780570337	HPA
AKAP11	liver	5.0497178712914314e-05	HPA
GLRX2	liver	0.0001223585484197539	HPA
SNAPC1	liver	2.476303956114067e-05	HPA
DERA	liver	0.0004923474924509145	HPA
STRAP	liver	0.00037872884034685736	HPA
ABCC2	liver	0.0005729487584734508	HPA
DEF6	liver	2.476303956114067e-05	HPA
PLEKHO1	liver	4.127173260190112e-05	HPA
GCLM	liver	0.00022820840379874738	HPA
UBR2	liver	8.108681581785278e-05	HPA
EHD2	liver	6.846252113962421e-05	HPA
DEPDC1	liver	1.942199181265935e-06	HPA
CCDC28A	liver	0.00031900621552292984	HPA
RRAGD	liver	2.08786411986088e-05	HPA
HSF2	liver	2.573413915177364e-05	HPA
PHF20	liver	3.835843383000222e-05	HPA
HSD17B6	liver	0.008491780370289985	HPA
NR1H3	liver	0.0003971797325688837	HPA
TYMP	liver	0.0003879542864578706	HPA
NCAPH2	liver	0.00013061289494013413	HPA
TOMM34	liver	8.885561254291654e-05	HPA
SEC63	liver	0.00021946850748305068	HPA
KPNA6	liver	7.477466847873851e-05	HPA
VIM	liver	0.0009079781172418247	HPA
FAS	liver	6.069372441456047e-05	HPA
RNASET2	liver	0.00023986159888634298	HPA
CD44	liver	0.00014517938879962864	HPA
KCNG1	liver	9.710995906329675e-07	HPA
AGPAT4	liver	3.88439836253187e-06	HPA
SLAMF7	liver	3.690178444405276e-05	HPA
BTN3A1	liver	8.885561254291654e-05	HPA
MIPEP	liver	5.632377625671212e-05	HPA
PRKCH	liver	4.8554979531648375e-05	HPA
INSRR	liver	0.0	HPA
IFNGR1	liver	0.0004806942973633189	HPA
B4GALT7	liver	0.00014420828920899567	HPA
SH2D2A	liver	1.019654570164616e-05	HPA
VRK2	liver	7.477466847873851e-05	HPA
TNFRSF1B	liver	7.380356888810553e-05	HPA
VEZT	liver	2.184974078924177e-05	HPA
POU2F2	liver	9.22544611101319e-06	HPA
BRD9	liver	2.6219688947090127e-05	HPA
SNX1	liver	0.0003262894624526771	HPA
TBPL1	liver	6.457812277709234e-05	HPA
BMAL2	liver	2.2335290584558252e-05	HPA
BCLAF1	liver	0.0001286706957588682	HPA
SLC39A9	liver	0.0002039309140329232	HPA
ANK1	liver	1.4566493859494514e-06	HPA
IBSP	liver	0.0	HPA
TFB1M	liver	7.089027011620663e-05	HPA
RABEP1	liver	0.0001548903847059583	HPA
HMGB3	liver	0.00047972319777268597	HPA
NUP160	liver	7.089027011620663e-05	HPA
BAK1	liver	5.09827285082308e-05	HPA
MUSK	liver	1.4566493859494514e-06	HPA
IKZF2	liver	6.797697134430772e-06	HPA
GRN	liver	0.0005627522127718048	HPA
FAM13B	liver	4.0300633011268156e-05	HPA
ARHGAP31	liver	1.699424283607693e-05	HPA
CENPQ	liver	2.08786411986088e-05	HPA
SARS1	liver	0.0004821509467492684	HPA
RANBP3	liver	0.00011507530149000664	HPA
ARID4A	liver	8.837006274760004e-05	HPA
EIPR1	liver	7.817351704595389e-05	HPA
PNPLA6	liver	0.00010342210640241105	HPA
IFT88	liver	7.428911868342202e-05	HPA
ALG1	liver	9.953770803987917e-05	HPA
ZCCHC8	liver	4.8554979531648375e-05	HPA
ABCF2	liver	5.826597543797805e-05	HPA
CHPF2	liver	9.662440926798027e-05	HPA
LRRC7	liver	9.710995906329675e-07	HPA
FUT8	liver	1.6023143245443965e-05	HPA
UBA6	liver	5.0497178712914314e-05	HPA
GAB2	liver	2.08786411986088e-05	HPA
ATP6V0A1	liver	8.400011458975169e-05	HPA
PIAS1	liver	4.5641680759749474e-05	HPA
SLC4A7	liver	1.79653424267099e-05	HPA
APBA2	liver	4.369948157848354e-06	HPA
MAP2K3	liver	0.00045350350882559587	HPA
CLXN	liver	3.398848567215386e-06	HPA
TMSB10	liver	0.00353091811154147	HPA
ASTE1	liver	2.8647437923672543e-05	HPA
RNF19A	liver	0.00023209280216127923	HPA
PEX3	liver	0.00011507530149000664	HPA
GABARAPL2	liver	0.0005341047748481321	HPA
MYOC	liver	4.855497953164838e-07	HPA
SH3YL1	liver	5.486712687076267e-05	HPA
FAM136A	liver	0.00015634703409190778	HPA
VCL	liver	0.00011361865210405719	HPA
DEPDC1B	liver	1.4566493859494514e-06	HPA
DAPK2	liver	7.76879672506374e-06	HPA
NSMAF	liver	2.6705238742406608e-05	HPA
ADSS2	liver	0.00011458975169469017	HPA
STAP1	liver	1.4566493859494514e-06	HPA
TIMP2	liver	0.0002961853751430551	HPA
RFC1	liver	0.00011993079944317149	HPA
TBC1D23	liver	0.00010682095496962643	HPA
CUL3	liver	0.0002150985593252023	HPA
MYOM2	liver	1.942199181265935e-06	HPA
OTC	liver	0.0017775978006536472	HPA
CYP46A1	liver	5.8265975437978054e-06	HPA
ZZZ3	liver	7.865906684127037e-05	HPA
SLC18A1	liver	0.0	HPA
USP2	liver	8.885561254291654e-05	HPA
CASR	liver	9.710995906329675e-07	HPA
TUBG2	liver	8.545676397570115e-05	HPA
RPL26L1	liver	0.00022529510502684847	HPA
FLT4	liver	2.961853751430551e-05	HPA
NSUN2	liver	0.00017285572713266823	HPA
FBXO42	liver	6.749142154899125e-05	HPA
MFAP3	liver	6.457812277709234e-05	HPA
MRI1	liver	0.00011264755251342423	HPA
METTL1	liver	8.302901499911874e-05	HPA
HOXC8	liver	0.0	HPA
AGA	liver	8.739896315696708e-05	HPA
PI4K2B	liver	0.0002723934351725474	HPA
BOD1L1	liver	5.292492768949673e-05	HPA
MAT2B	liver	0.00040009303134078264	HPA
TLL1	liver	4.855497953164838e-07	HPA
EDC4	liver	5.146827830354728e-05	HPA
TRIO	liver	1.9907541607975832e-05	HPA
VCAN	liver	1.2624294678228579e-05	HPA
CLEC16A	liver	7.671686766000443e-05	HPA
MSR1	liver	0.00011750305046658907	HPA
CDH1	liver	0.00045738790718812775	HPA
MTREX	liver	9.27400109054484e-05	HPA
DNAH5	liver	4.369948157848354e-06	HPA
ZFYVE16	liver	4.8554979531648375e-05	HPA
RIPOR1	liver	7.914461663658686e-05	HPA
C6	liver	0.0029633104008165	HPA
RAI14	liver	0.00012964179534950116	HPA
SOX30	liver	0.0	HPA
PNKP	liver	0.00010633540517430993	HPA
BEST2	liver	1.4566493859494514e-06	HPA
PHLPP2	liver	1.408094406417803e-05	HPA
SPDL1	liver	1.5052043654810997e-05	HPA
STAU2	liver	0.00012090189903380445	HPA
SLC66A1	liver	0.00012575739698696928	HPA
CTNS	liver	7.526021827405498e-05	HPA
RTN4R	liver	6.069372441456047e-05	HPA
PHF23	liver	0.00012430074760101984	HPA
CDH10	liver	0.0	HPA
INPP4A	liver	1.942199181265935e-05	HPA
RAB27B	liver	5.8265975437978054e-06	HPA
PSMA4	liver	0.0007200703464543455	HPA
MYO16	liver	8.739896315696708e-06	HPA
LSG1	liver	0.00010293655660709455	HPA
PARP3	liver	0.00013838169166519788	HPA
TNC	liver	5.195382809886376e-05	HPA
THAP3	liver	0.0001374105920745649	HPA
RIPOR3	liver	6.700587175367477e-05	HPA
TDP1	liver	3.0589637104938475e-05	HPA
AIFM2	liver	0.00010342210640241105	HPA
SPATA7	liver	2.476303956114067e-05	HPA
MED17	liver	2.427748976582419e-06	HPA
RETSAT	liver	0.0005462435197310442	HPA
CAPG	liver	4.17572823972176e-05	HPA
AP2S1	liver	0.0007050183027995344	HPA
USH2A	liver	3.2531836286204414e-05	HPA
ZPBP	liver	0.0	HPA
TG	liver	1.699424283607693e-05	HPA
ADAM28	liver	5.8265975437978054e-06	HPA
BARX2	liver	0.0	HPA
DCUN1D1	liver	0.00014809268757152755	HPA
JADE2	liver	2.573413915177364e-05	HPA
ZIC2	liver	0.0	HPA
LCP2	liver	0.00012381519780570337	HPA
TRIT1	liver	6.166482400519344e-05	HPA
ADRB1	liver	6.797697134430772e-06	HPA
GUCA2B	liver	2.573413915177364e-05	HPA
CUL7	liver	4.5641680759749474e-05	HPA
CTNNA1	liver	0.0003879542864578706	HPA
PHKA2	liver	0.00016265918143102206	HPA
CNTLN	liver	4.952607912228134e-05	HPA
EPHA3	liver	2.3306390175191222e-05	HPA
